ProductName,Vendor,ClassType,CommonCode,BeverageType,Size,VendorNumber,ClassID,ClassTypeName,ClassTypeNo,Brand,CommonCodeName,CommonCodeNo,Listed_NonListed,PackSize,PackSizeInd,Bottles
KENTUCKY TAVERN - STRT BOURBON - 1.0 LTR,SAZERAC N AMRCA  ( 6612 ),STRT BOURBON  ( 1120 ),KY TAV 4Y 80  ( 33200 ),Spirit,1.0 LTR,6612,Whiskey,STRT BOURBON,1120,KENTUCKY TAVERN,KY TAV 4Y 80,33200,Non-Listed,12,Actual,765
KENTUCKY TAVERN - STRT BOURBON - 1.75 LTR,SAZERAC N AMRCA  ( 6612 ),STRT BOURBON  ( 1120 ),KY TAV 4Y 80  ( 33200 ),Spirit,1.75 LTR,6612,Whiskey,STRT BOURBON,1120,KENTUCKY TAVERN,KY TAV 4Y 80,33200,Listed,6,Actual,1411
KENTUCKY TAVERN - STRT BOURBON - 1.75 LTR,SAZERAC N AMRCA  ( 6612 ),STRT BOURBON  ( 1120 ),KY TAV 4Y 80  ( 33200 ),Spirit,1.75 LTR,6612,Whiskey,STRT BOURBON,1120,KENTUCKY TAVERN,KY TAV 4Y 80,33200,Listed,6,Actual,1536
KESSLER - BLENDED WHSKY - 1.75 LTR,BEAM SUNTORY  ( 680 ),BLENDED WHSKY  ( 1150 ),KESSLER BLND 80P  ( 27900 ),Spirit,1.75 LTR,680,Whiskey,BLENDED WHSKY,1150,KESSLER,KESSLER BLND 80P,27900,Non-Listed,6,Actual,13
KESSLER - BLENDED WHSKY - 1.75 LTR,BEAM SUNTORY  ( 680 ),BLENDED WHSKY  ( 1150 ),KESSLER BLND 80P  ( 27900 ),Spirit,1.75 LTR,680,Whiskey,BLENDED WHSKY,1150,KESSLER,KESSLER BLND 80P,27900,Non-Listed,6,Actual,35
KESSLER - BLENDED WHSKY - 750 ML,BEAM SUNTORY  ( 680 ),BLENDED WHSKY  ( 1150 ),KESSLER BLND 80P  ( 27900 ),Spirit,750 ML,680,Whiskey,BLENDED WHSKY,1150,KESSLER,KESSLER BLND 80P,27900,Non-Listed,12,Actual,13
KESSLER - BLENDED WHSKY - 750 ML,BEAM SUNTORY  ( 680 ),BLENDED WHSKY  ( 1150 ),KESSLER BLND 80P  ( 27900 ),Spirit,750 ML,680,Whiskey,BLENDED WHSKY,1150,KESSLER,KESSLER BLND 80P,27900,Non-Listed,12,Actual,36
KETEL ONE CITROEN VODKA - VODKA IMPORTD - 1.0 LTR,DIAGEO  ( 1967 ),VODKA IMPORTD  ( 3200 ),KETEL ONE CIT VK  ( 909700 ),Spirit,1.0 LTR,1967,Vodka,VODKA IMPORTD,3200,KETEL ONE CITROEN VODKA,KETEL ONE CIT VK,909700,Non-Listed,12,Actual,3
KETEL ONE CITROEN VODKA - VODKA IMPORTD - 50 ML,DIAGEO  ( 1967 ),VODKA IMPORTD  ( 3200 ),KETEL ONE CIT VK  ( 909700 ),Spirit,50 ML,1967,Vodka,VODKA IMPORTD,3200,KETEL ONE CITROEN VODKA,KETEL ONE CIT VK,909700,Non-Listed,120,Actual,57
KETEL ONE CITROEN VODKA - VODKA IMPORTD - 50 ML,DIAGEO  ( 1967 ),VODKA IMPORTD  ( 3200 ),KETEL ONE CIT VK  ( 909700 ),Spirit,50 ML,1967,Vodka,VODKA IMPORTD,3200,KETEL ONE CITROEN VODKA,KETEL ONE CIT VK,909700,Non-Listed,120,Actual,99
